Item,Name,Alias,Slave Station ID,Data Address,Type,Function Code,Arithmetic,Parameter A,Parameter B,Sampling Frequency,Reported,Writable,Big Endian,Changing Upload,BCD,,
59,AC online switch,AC online switch,1,2135,Bool,3,2,0x1000,,180000,1,0,0,0,0,,1: connected 0: disconnected
60,Mode switch,Mode switch,1,2135,Bool,3,2,0x2000,,180000,1,0,0,0,0,,1: connected 0: disconnected
61,Three-way valve 1,Three-way valve 1,1,2135,Bool,3,2,0x4000,,180000,1,0,0,0,0,,1: ON 0: OFF
62,Three-way valve 2,Three-way valve 2,1,2135,Bool,3,2,0x8000,,180000,1,0,0,0,0,,1: ON 0: OFF
63,Solenoid valve,Solenoid valve,1,2136,Bool,3,2,0x01,,180000,1,0,0,0,0,,1: ON 0: OFF
64,Unloading valve,Unloading valve,1,2136,Bool,3,2,0x02,,180000,1,0,0,0,0,,1: ON 0: OFF
65,Oil return valve,Oil return valve,1,2136,Bool,3,2,0x04,,180000,1,0,0,0,0,,1: ON 0: OFF
66,Reserved 11,Reserved 11,1,2136,Bool,3,2,0x08,,180000,1,0,0,0,0,,
67,Reserved 12,Reserved 12,1,2136,Bool,3,2,0x10,,180000,1,0,0,0,0,,
68,Defrosting operation status,Defrosting operation status,1,2136,Bool,3,2,0x20,,180000,1,0,0,0,0,,1: enter 0: exit
69,Refrigerant recovery status,Refrigerant recovery status,1,2136,Bool,3,2,0x40,,180000,1,0,0,0,0,,1: enter 0: exit
70,Oil return status,Oil return status,1,2136,Bool,3,2,0x80,,180000,1,0,0,0,0,,1: enter 0: exit
71,Wired controller connecting status,Wired controller connecting status,1,2136,Bool,3,2,0x100,,180000,1,0,0,0,0,,1: enter 0: exit
72,Energy-saving running status,Energy-saving running status,1,2136,Bool,3,2,0x200,,180000,1,0,0,0,0,,1: enter 0: exit
73,1st class antifreeze status,1st class antifreeze status,1,2136,Bool,3,2,0x400,,180000,1,0,0,0,0,,1: enter 0: exit
74,2nd class antifreeze status,2nd class antifreeze status,1,2136,Bool,3,2,0x800,,180000,1,0,0,0,0,,1: enter 0: exit
75,High temperature sterilization status,High temperature sterilization status,1,2136,Bool,3,2,0x1000,,180000,1,0,0,0,0,,1: enter 0: exit
76,Reserved 13,Reserved 13,1,2136,Bool,3,2,0x2000,,180000,1,0,0,0,0,,
77,Reserved 14,Reserved 14,1,2136,Bool,3,2,0x4000,,180000,1,0,0,0,0,,
78,Reserved 15,Reserved 15,1,2136,Bool,3,2,0x8000,,180000,1,0,0,0,0,,
79,Indoor EE error,Indoor EE error,1,2137,Bool,3,2,0x01,,180000,1,0,0,0,0,,1: error 0: normal
80,Outdoor EE error,Outdoor EE error,1,2137,Bool,3,2,0x02,,180000,1,0,0,0,0,,1: error 0: normal
81,Inlet water temp. sensor error,Inlet water temp. sensor error,1,2137,Bool,3,2,0x04,,180000,1,0,0,0,0,,1: error 0: normal
82,Outlet water temp. sensor error,Outlet water temp. sensor error,1,2137,Bool,3,2,0x08,,180000,1,0,0,0,0,,1: error 0: normal
83,Indoor coil temp. sensor error,Indoor coil temp. sensor error,1,2137,Bool,3,2,0x10,,180000,1,0,0,0,0,,1: error 0: normal
84,Outdoor coil temp. sensor error,Outdoor coil temp. sensor error,1,2137,Bool,3,2,0x20,,180000,1,0,0,0,0,,1: error 0: normal
85,Discharge temp. sensor error,Discharge temp. sensor error,1,2137,Bool,3,2,0x40,,180000,1,0,0,0,0,,1: error 0: normal
86,Suction temp. sensor error,Suction temp. sensor error,1,2137,Bool,3,2,0x80,,180000,1,0,0,0,0,,1: error 0: normal
87,Outdoor temp. sensor error,Outdoor temp. sensor error,1,2137,Bool,3,2,0x100,,180000,1,0,0,0,0,,1: error 0: normal
88,Indoor and outdoor unit connecting error,Indoor and outdoor unit connecting error,1,2137,Bool,3,2,0x200,,180000,1,0,0,0,0,,1: error 0: normal
89,Wired controller and board communication error,Wired controller and board communication error,1,2137,Bool,3,2,0x400,,180000,1,0,0,0,0,,1: error 0: normal
90,Compressor start error,Compressor start error,1,2137,Bool,3,2,0x800,,180000,1,0,0,0,0,,1: error 0: normal
91,Compressor drive error,Compressor drive error,1,2137,Bool,3,2,0x1000,,180000,1,0,0,0,0,,1: error 0: normal
92,IPM error,IPM error,1,2137,Bool,3,2,0x2000,,180000,1,0,0,0,0,,1: error 0: normal
93,Compressor housing top protection,Compressor housing top protection,1,2137,Bool,3,2,0x4000,,180000,1,0,0,0,0,,1: error 0: normal
94,AC voltage protection,AC voltage protection,1,2137,Bool,3,2,0x8000,,180000,1,0,0,0,0,,1: error 0: normal
95,AC current protection,AC current protection,1,2138,Bool,3,2,0x01,,180000,1,0,0,0,0,,1: error 0: normal
96,Compressor current protection,Compressor current protection,1,2138,Bool,3,2,0x02,,180000,1,0,0,0,0,,1: error 0: normal
97,Fan motor error,Fan motor error,1,2138,Bool,3,2,0x04,,180000,1,0,0,0,0,,1: error 0: normal
98,Bus voltage protection,Bus voltage protection,1,2138,Bool,3,2,0x08,,180000,1,0,0,0,0,,1: error 0: normal
99,IPM high temp. protection,IPM high temp. protection,1,2138,Bool,3,2,0x10,,180000,1,0,0,0,0,,1: error 0: normal
100,High discharge temp. protection,High discharge temp. protection,1,2138,Bool,3,2,0x20,,180000,1,0,0,0,0,,1: error 0: normal
101,High pressure protection,High pressure protection,1,2138,Bool,3,2,0x40,,180000,1,0,0,0,0,,1: error 0: normal
102,Low pressure protection,Low pressure protection,1,2138,Bool,3,2,0x80,,180000,1,0,0,0,0,,1: error 0: normal
103,Water flow protection,Water flow protection,1,2138,Bool,3,2,0x100,,180000,1,0,0,0,0,,1: error 0: normal
104,Cooling high outdoor coil temp. protection,Cooling high outdoor coil temp. protection,1,2138,Bool,3,2,0x200,,180000,1,0,0,0,0,,1: error 0: normal
105,Low ambient temp. protection,Low ambient temp. protection,1,2138,Bool,3,2,0x400,,180000,1,0,0,0,0,,1: error 0: normal
106,EEV low pressure protection,EEV low pressure protection,1,2138,Bool,3,2,0x800,,180000,1,0,0,0,0,,1: error 0: normal
107,EVI low pressure protection,EVI low pressure protection,1,2138,Bool,3,2,0x1000,,180000,1,0,0,0,0,,1: error 0: normal
108,Inlet and outlet water large temp. difference protection,Inlet and outlet water large temp. difference protection,1,2138,Bool,3,2,0x2000,,180000,1,0,0,0,0,,1: error 0: normal
109,Low outlet water temp. protection,Low outlet water temp. protection,1,2138,Bool,3,2,0x4000,,180000,1,0,0,0,0,,1: error 0: normal
110,Compressor running pressure difference protection,Compressor running pressure difference protection,1,2138,Bool,3,2,0x8000,,180000,1,0,0,0,0,,1: error 0: normal
